name,alcoholic,glassware,ingredient1,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strMeasure1,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strInstructions
Pisco Sour,Alcoholic,Cocktail glass,Pisco,Lemon juice,Sugar,Ice,,,,,,2 oz ,1 oz ,1-2 tblsp ,,,,,,,"Vigorously shake and strain contents in a cocktail shaker with ice cubes, then pour into glass and garnish with bitters.[1]"
Rail Splitter,Non alcoholic,Highball glass,Sugar syrup,Lemon juice,Ginger ale,,,,,,,2 tsp ,"
", , , , , ,,,Mix sugar syrup with lemon juice in a tall glass. Fill up with ginger ale.
Ruby Tuesday,Alcoholic,Highball glass,Gin,Cranberry juice,Grenadine,,,,,,,2 oz ,5 oz ,2 splashes , , , , , ,,Pour gin and cranberry into a highball filled with ice cubes. Add grenadine and stir.
Shark Attack,Alcoholic,Pitcher,Lemonade,Water,Vodka,,,,,,,1 can ,3 cans ,1 1/2 cup , , , , , ,,Mix lemonade and water according to instructions on back of can. If the instructions say to add 4 1/3 cans of water do so. Mix into pitcher. Add 1 1/2 cup of Vodka (Absolut). Mix well. Pour into glass of crushed ice. Excellent!
Tequila Sunrise,Alcoholic,Highball glass,Tequila,Orange juice,Grenadine,,,,,,,2 measures ,,,,,,,,,"Pour the tequila and orange juice into glass over ice. Add the grenadine, which will sink to the bottom. Stir gently to create the sunrise effect. Garnish and serve."
The Evil Blue Thing,Alcoholic,Old-fashioned glass,Creme de Cacao,Blue Curacao,Light rum,,,,,,,1 1/2 oz ,1 oz ,1/2 oz , , , , , ,,"Pour ingredients into glass, and drop in a blue whale! The blue whale isn't really necessary, but it makes the drink more ""fun""."
Vesper,Alcoholic,Cocktail glass,Gin,Vodka,Lillet Blanc,,,,,,,6 cl,1.5 cl,0.75 cl,,, , ,,,"Shake over ice until well chilled, then strain into a deep goblet and garnish with a thin slice of lemon peel."
Yellow Bird,Alcoholic,Cocktail glass,White Rum,Galliano,Triple Sec,Lime Juice,,,,,,3 cl,1.5 cl,1.5 cl,1.5 cl, , , , , ,Shake and strain into a chilled cocktail glass
Zippy's Revenge,Alcoholic,Old-fashioned glass,Amaretto,Rum,Kool-Aid,,,,,,,2 oz ,2 oz ,4 oz Grape , , , , , ,,Mix Kool-Aid to taste then add Rum and ammaretto. shake well to disolve the sugar in the Kool-Aid... serve cold
Zorbatini,Alcoholic,Cocktail glass,Vodka,Ouzo,,,,,,,,1 1/4 oz Stoli ,1/4 oz , , , , , ,,,Prepare like a Martini. Garnish with a green olive.
